"IntMot","SciAtt","TaskMast","EgoSoc","ActiveEn"
3.10204178880466,3.39009333334394,3.11836019941049,1.68395912783665,1.33476709460488
2.50070433799362,3.6063166926369,3.4199383469763,1.89346716374808,1.87570351299644
2.4912747116143,3.31846599825432,2.32706539232928,3.47049213283862,2.18069062282818
3.09242980128002,4.44313246772964,3.37133381454478,3.31155817290013,2.42275673085381
2.78177108964242,3.90998103606453,3.41304997163432,2.76719280561077,2.09840164375404
2.70991018939269,3.08941063429947,2.6376785461436,3.73998550424766,2.15811720623098
2.4141803370284,3.81171380500544,3.11382073072944,2.77957508517703,1.56600909865902
2.58028837238195,3.96195451786449,3.42382437608062,0.978520692435405,1.68365744233743
2.80816847740942,3.0544195118069,2.78233669723631,0.936902727832485,1.23508349724791
2.71965675482601,3.49415388650147,2.72358566307081,1.49796796954211,1.40368582035875
2.14454687163578,3.47578448751836,2.97164077642399,3.15894016559224,2.12532838356992
3.13918944548808,4.20874807862343,3.6897577732799,3.65583105591247,2.00098391691648
2.82156411571113,3.39481956131152,3.59921600696277,2.76558869621868,2.1773969238099
2.68775625302124,3.53432611796932,3.42456654538922,2.37698338846115,2.04975587712096
3.11909240373486,3.39324358676441,3.19834444651608,1.69161767798619,1.78883082637096
2.19839543919673,2.6705346692454,2.15038813154208,2.96079553820754,2.08494140269129
2.89957544722263,3.19573098249912,2.69319413179456,2.53148614019912,1.50759904364619
3.93121567406931,5.23196472907728,3.74250997123512,2.18710666143539,2.13531376978612
2.33311525897924,3.01143965149025,3.08795096519148,2.33357668026456,1.80431946859381
3.47298750548031,4.25047868229564,2.89207596252266,2.65067802159567,1.75224206110279
3.34686779295365,4.58814433749847,2.62830936246229,2.01867610151438,1.66532296052156
3.10848104613939,3.77922333404382,3.14855848229766,2.41715317160862,1.61682590061283
3.47679289992163,3.50458695233218,3.72289323488557,1.64600510906578,1.65380919557562
3.49921140867156,3.84090068865084,3.24932374727444,2.13670216049622,1.75774521155612
3.4709785625414,4.25978154417544,4.11871656542255,2.79713498027863,2.72357329810606
3.32863901189091,4.170708800241,3.39579271839468,1.1530015546646,1.70055713584756
2.34921804732253,3.44832567801446,2.76830816438562,2.76092577845012,1.84256001726619
2.631851061345,3.82686269082152,3.45090793311541,2.64898067032881,1.9300808033499
3.11036535490878,4.30832428136176,3.39147272937693,1.77018062049322,1.89487157282523
2.3610484578372,3.28162076282236,2.82363652695874,3.18387873366614,1.64693044753541
2.70302669443459,3.32619767984452,3.12297303623053,2.49637421950114,2.16602916886798
2.19470708684578,3.72198588927662,2.66246178300861,1.46030739119545,1.56235419657412
